Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,1972-01-01,1972-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1972,1972,US$,26.7007984800,E
KEN,1973-01-01,1973-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1973,1973,US$,29.9382392000,E
KEN,1974-01-01,1974-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1974,1974,US$,34.0322513600,E
KEN,1975-01-01,1975-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1975,1975,US$,37.4564274600,E
KEN,1976-01-01,1976-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1976,1976,US$,38.3754453700,E
KEN,1977-01-01,1977-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1977,1977,US$,45.4346841900,E
KEN,1978-01-01,1978-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1978,1978,US$,49.3565919300,E
KEN,1979-01-01,1979-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1979,1979,US$,54.5613089100,E
KEN,1980-01-01,1980-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1980,1980,US$,60.1825188500,E
KEN,1981-01-01,1981-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1981,1981,US$,54.6957681100,E
KEN,1982-01-01,1982-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1982,1982,US$,50.8076014900,E
KEN,1983-01-01,1983-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1983,1983,US$,46.6026627900,E
KEN,1984-01-01,1984-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1984,1984,US$,47.4191708600,E
KEN,1985-01-01,1985-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1985,1985,US$,45.0435456900,E
KEN,1986-01-01,1986-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1986,1986,US$,49.5796819700,E
KEN,1987-01-01,1987-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1987,1987,US$,51.5312903500,E
